centre_code,centre_name,city,state,pin,lat,lon,pin_place,pin_state,source
IND444203AAA,Shegaon_SChwkDPP_D (Maharashtra),Shegaon,Maharashtra,444203,20.559664285714288,76.42409285714287,"Alsana, Adsul, Shegaon, Bhongaon, Kherda, Nagzari, Chincholi Karfarma, Janori Nipana, Jawala BK, Manasgaon, Rokdiya Nagar, Sagoda, Takli Viro, Zadegaon",Maharashtra,geonames-pin
IND125121AAA,Barwala_Central_DPP_1 (Haryana),Barwala,Haryana,125121,29.355986956521743,75.8624695652174,"Panihari, Sarhera, Matloda, Sarsod, Kharkara, Rajli, Bugana, Barwala Mandi, Gurana, Jeora, Daulatpur, Khedar, Faridpur, Barwala (Hisar), Banbhori, Kharak Punia, Dhani Khan Bahadur, Sandlana, Badhawar, Bhaini Badshahpur, Gaibipur, Dhadh, Biana Khera",Haryana,geonames-pin
IND246149AAA,Kotdwara_Nzbadrd_D (Uttarakhand),Kotdwara,Uttarakhand,246149,29.74835555555556,78.61608333333334,"Amsaur, Padampur, Kishanpur, Kotdwara H.O, Kotridhang, Lokmanipur, Mawakot, Nimbuchaur, Padampur Motadhak, Shivrajpur, Kalalghati, Jhandichaur, Kumbhichaur, B.E.L., Balasaur, Nazibabad Road, Kotdwara Railway Station, Devikhal",Uttarakhand,geonames-pin
IND673632AAA,Kozhikode_Central_H_4 (Kerala),Kozhikode,Kerala,673632,11.295066666666663,75.85613333333333,"Farook College, Karad Paramba, Azhinjilam",Kerala,geonames-pin
IND276129AAA,Chiraiyakot_KamalDPP_D (Uttar Pradesh),Chiraiyakot,Uttar Pradesh,276129,25.9903,83.43909375,"Sherpur, Daulatabad, Jigar Sandi, Bhagwat, Barahalaganj, Mande, Kajha, Bramhanpur, Kamarawa, Karami, Chiraia Kot, Chhapara, Sachui, Misarauli, Sarauda, Rasepur",Uttar Pradesh,geonames-pin
IND500010AAA,Hyderabad_Alwal_I (Telangana),Hyderabad,Telangana,500010,17.4171,78.4772,"Bolarum Bazar, Bolarum, Alwal",Telangana,geonames-pin
IND841405AAA,Barauli_SiwanRd_D (Bihar),Barauli,Bihar,841405,26.36173157894737,84.67215789473684,"Achhaibar Pipra, B.A.Sonbarsa, Kamalpur, Neori, Kahla, Nawada, Barauli (Gopalganj), Salempur, Devapur, Sikatiya Sridhar Sahi, B.Rampur, Hassanpur Mathiya, Batardey, Lohijara, M.Biraicha, Rupanchhap, Sadauwan, Sareya Narendra, Khajuri",Bihar,geonames-pin
IND700088AAA,Kolkata_TrtllaRD_L (West Bengal),Kolkata,West Bengal,700088,22.5553,88.3558,"Brace Bridge, Telecom Factory, Taratala Road",West Bengal,geonames-pin
IND482002AAA,Jabalpur (Madhya Pradesh),,Madhya Pradesh,482002,23.135096,79.97965599999999,"I.T.I., Mangela, Gohalpur, Motinala, Dixitpura, Miloniganj, Nagar Nigam, Pachkuiyan, Telegraph Work Shop, Kamala Nehru Nagar, Garha Phatak, Ganjipura, Belkhadu, Lordganj, Gurandi Bazar, Hanumantal, Jabalpur City, Jonesganj, Archha, Agasaud, Surtalai, Karmeta, Simaria, Sukha, Wright Town",Madhya Pradesh,geonames-pin
IND421302AAF,Mumbai_Kalyan (Maharashtra),Mumbai,Maharashtra,421302,19.222834782608697,73.22239565217392,"Chimbipada, Shastrinagar (Thane), Anjur, Angaon, Kalher, Kunde, Mahapoli, Shantinagar E.D., Kharbav, Lonad, Dunge, Dighashi, Chinchwali, Shelar, Dandekarwadi, Dabhad, Amane, Rehnal, Pachhapur, Vadpe, Vadavali, Paye, Dugad",Maharashtra,geonames-pin
IND110077AAA,Delhi_Palam (Delhi),Delhi,Delhi,110077,28.5677,77.07586,"Palam Extn (Harijan Basti), Bagdola, Barthal, Dhulsiras, Raj Nagar - II",Delhi,geonames-pin
IND395010AAB,Surat_Brpc (Gujarat),Surat,Gujarat,395010,21.2623,73.0694,"Kumbharia, Parvat Patia, Bombay Market, Saroli",Gujarat,geonames-pin
IND000000AAQ,Barasat_KrshnNgr_D (West Bengal),Barasat,West Bengal,000000,,,,,
IND852118A1B,,,Bihar,852118,,,,,
IND477001AAA,Bhind_BhrolDPP_D (Madhya Pradesh),Bhind,Madhya Pradesh,477001,26.5093125,78.65120625,"Attair Road Bhind, Dharai, Lawan, Gopalpura, Chandupura, Bhind Kutchary, Pidora, Usha Nagar Colony EDSO, Jamna, Housing Colony Bhind, Goara, Ethar, Daboha, Bhind H.O, Bhind Mandi, Garhpara",Madhya Pradesh,geonames-pin
IND686028AAB,Kottayam_Central_H_1 (Kerala),Kottayam,Kerala,686028,,,,,
IND518222AAA,Dhone_RmNyrDPP_D (Andhra Pradesh),Dhone,Andhra Pradesh,518222,15.396822222222225,77.86272777777778,"Katarukonda, Malkapuram, Eddupenta, Ungaralagundla, Bogolu, Dhone, Kamaganikuntla, Dhone-bazar, Kotchervu, Malliyala, Sudepalli, Udumulapadu, Koilakonda, B.Ramadurgam, Jagadurthi, Dharmavaram, Kamalapuram, Chityala",Andhra Pradesh,geonames-pin
IND400072AAA,Mumbai_Tejpal_M (Maharashtra),Mumbai,Maharashtra,400072,18.9808,72.8338,"Vihar Road, Sakinaka",Maharashtra,geonames-pin
